"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"MC-50-2-T0",52,0.964440223699483,3.56534583502744,"MC-50-2-T0","Susceptible",2,"LC","0","LC0","50_T0","50_T0","MC-50-2","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"LA-50-2-T2",16,0.649670051379453,1.59842576911119,"LA-50-2-T2","Susceptible",2,"LA","6","LA6","50_LA","50_A","LA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"LC-50-1-T0",34,0.891746008555125,2.87117394878497,"LC-50-1-T0","Susceptible",1,"NT","0","T0","50_T0","50_T0","LC-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MN-50-2-T2",24,0.798272741292684,2.3549742540531,"MN-50-2-T2","Susceptible",2,"LN","6","LN6","50_LN","50_N","MN-50-2","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"HP-50-2-T0",35,0.823402407447992,2.55705812173973,"HP-50-2-T0","Susceptible",2,"HP","0","HP0","50_T0","50_T0","HP-50-2","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"LA-50-3-T3",9,0.517171126857737,1.16774581404808,"LA-50-3-T3","Susceptible",3,"HA","3","HA3","50_HA","50_A","LA-50-3","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"CTRL-50-4-T0",17,0.830236767558705,2.14939230918539,"CTRL-50-4-T0","Susceptible",4,"NT","0","T0","50_T0","50_T0","CTRL-50-4","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MN-50-1-T3",26,0.951729287911624,3.11412356947528,"MN-50-1-T3","Susceptible",1,"LN","6","LN6","50_LN","50_N","MN-50-1","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"MA-50-1-T1",20,0.72041623038774,1.82724632907283,"MA-50-1-T1","Susceptible",1,"LA","3","LA3","50_LA","50_A","MA-50-1","LA","LA3",6,"Ammonium","50_3","Ammonium","L","A3","A3","N"
"HN-50-2-T3",17,0.30572803792177,0.804277116069187,"HN-50-2-T3","Susceptible",2,"HN","3","HN3","50_HN","50_N","HN-50-2","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
