SampleID	Genotype	Phenotype	Rep	Nutrient	Exposure_weeks	Nutrient_weeks	Nutrient_geno	Nutrient_merged_geno	Tank	T0_merge	NW_T0_merge	Nutrient_order	Nutrient_no_level	Geno_weeks	No_level_no_T0	Level	No_level_weeks	No_level_weeks_noT0	outlier
MC-50-2-TB	50	Susceptible	2	LC	0	LC0	50_T0	50_T0	MC-50-2	T0	T0	8	T0	50_0	Combined	0	T0	C0	N
MC-50-3-TE	50	Susceptible	3	LC	6	LC6	50_LC	50_C	MC-50-3	LC	LC6	8	Combined	50_6	Combined	L	C6	C6	N
LC-50-2-T0	50	Susceptible	2	LC	0	LC0	50_T0	50_T0	LC-50-2	T0	T0	8	T0	50_0	Combined	0	T0	C0	N
LN-50-2-T1	50	Susceptible	2	LN	3	LN3	50_LN	50_N	LN-50-2	LN	LN3	4	Nitrate	50_3	Nitrate	L	N3	N3	N
MN-50-3-T2-2	50	Susceptible	3	LN	6	LN6	50_LN	50_N	MN-50-3	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
MN-50-1-T4	50	Susceptible	1	LN	6	LN6	50_LN	50_N	MN-50-1	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
LN-50-2-T4	50	Susceptible	2	LN	6	LN6	50_LN	50_N	LN-50-2	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
MN-50-1-T0	50	Susceptible	1	LN	0	LN0	50_T0	50_T0	MN-50-1	T0	T0	4	T0	50_0	Nitrate	0	T0	N0	N
MN-50-2-T0	50	Susceptible	2	LN	0	LN0	50_T0	50_T0	MN-50-2	T0	T0	4	T0	50_0	Nitrate	0	T0	N0	N
MN-50-3-T1	50	Susceptible	3	LN	3	LN3	50_LN	50_N	MN-50-3	LN	LN3	4	Nitrate	50_3	Nitrate	L	N3	N3	N
MN-50-1-T1	50	Susceptible	1	LN	3	LN3	50_LN	50_N	MN-50-1	LN	LN3	4	Nitrate	50_3	Nitrate	L	N3	N3	N
LN-50-2-T2	50	Susceptible	2	LN	3	LN3	50_LN	50_N	LN-50-2	LN	LN3	4	Nitrate	50_3	Nitrate	L	N3	N3	N
MN-50-2-T2	50	Susceptible	2	LN	6	LN6	50_LN	50_N	MN-50-2	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
MN-50-1-T3	50	Susceptible	1	LN	6	LN6	50_LN	50_N	MN-50-1	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
MN-50-2-T4	50	Susceptible	2	LN	6	LN6	50_LN	50_N	MN-50-2	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
LN-50-2-T3	50	Susceptible	2	LN	6	LN6	50_LN	50_N	LN-50-2	LN	LN6	4	Nitrate	50_6	Nitrate	L	N6	N6	N
MP-50-2-TB	50	Susceptible	2	LP	0	LP0	50_T0	50_T0	MP-50-2	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
MP-50-3-TB	50	Susceptible	3	LP	0	LP0	50_T0	50_T0	MP-50-3	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
MP-50-1-TB	50	Susceptible	1	LP	0	LP0	50_T0	50_T0	MP-50-1	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
Negative	NA	NA	NA	NA	NA	NA	NA_NA	NA_NA	NA	NA	NA	NA	NA	NA_NA	NA	NA	NA	NA	N
