SampleID	Genotype	Phenotype	Rep	Nutrient	Exposure_weeks	Nutrient_weeks	Nutrient_geno	Nutrient_merged_geno	Tank	T0_merge	NW_T0_merge	Nutrient_order	Nutrient_no_level	Geno_weeks	No_level_no_T0	Level	No_level_weeks	No_level_weeks_noT0	outlier
MP-50-1-TE	50	Susceptible	1	LP	6	LP6	50_LP	50_P	MP-50-1	LP	LP6	2	Phosphate	50_6	Phosphate	L	P6	P6	N
LP-50-3-T0	50	Susceptible	3	HP	0	HP0	50_T0	50_T0	LP-50-3	T0	T0	3	T0	50_0	Phosphate	0	T0	P0	N
HA-50-2-T0	50	Susceptible	2	HA	0	HA0	50_T0	50_T0	HA-50-2	T0	T0	7	T0	50_0	Ammonium	0	T0	A0	N
MC-7-3-T0	7	Resistant	3	LC	0	LC0	7_T0	7_T0	MC-7-3	T0	T0	8	T0	7_0	Combined	0	T0	C0	N
MC-50-1-T0	50	Susceptible	1	LC	0	LC0	50_T0	50_T0	MC-50-1	T0	T0	8	T0	50_0	Combined	0	T0	C0	N
HN-7-3-T0	7	Resistant	3	HN	0	HN0	7_T0	7_T0	HN-7-3	T0	T0	5	T0	7_0	Nitrate	0	T0	N0	N
MP-7-3-T0	7	Resistant	3	LP	0	LP0	7_T0	7_T0	MP-7-3	T0	T0	2	T0	7_0	Phosphate	0	T0	P0	N
MA-50-3-T0	50	Susceptible	3	LA	0	LA0	50_T0	50_T0	MA-50-3	T0	T0	6	T0	50_0	Ammonium	0	T0	A0	N
HP-7-1-T0	7	Resistant	1	HP	0	HP0	7_T0	7_T0	HP-7-1	T0	T0	3	T0	7_0	Phosphate	0	T0	P0	N
HC-50-3-T0	50	Susceptible	3	HC	0	HC0	50_T0	50_T0	HC-50-3	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
HC-50-1-T0	50	Susceptible	1	HC	0	HC0	50_T0	50_T0	HC-50-1	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
